PIH,"1347 Property Insurance Holdings, Inc.",Finance,$47.27M,NAS
TURN,180 Degree Capital Corp.,Finance,$49.79M,NAS
FLWS,"1-800 FLOWERS.COM, Inc.",Consumer Services,$617.42M,NAS
FCCY,1st Constitution Bancorp (NJ),Finance,$138.47M,NAS
SRCE,1st Source Corporation,Finance,$1.25B,NAS
VNET,"21Vianet Group, Inc.",Technology,$520.26M,NAS
TWOU,"2U, Inc.",Technology,$2.14B,NAS
JOBS,"51job, Inc.",Technology,$2.76B,NAS
CAFD,8point3 Energy Partners LP,Public Utilities,$1.17B,NAS
EGHT,8x8 Inc,Public Utilities,$1.3B,NAS
AVHI,"A V Homes, Inc.",Capital Goods,$445.47M,NAS
SHLM,"A. Schulman, Inc.",Basic Industries,$889.83M,NAS
AAON,"AAON, Inc.",Capital Goods,$1.93B,NAS
ABAX,"ABAXIS, Inc.",Capital Goods,$1.19B,NAS
ABEO,Abeona Therapeutics Inc.,Health Care,$318.02M,NAS
ABEOW,Abeona Therapeutics Inc.,Health Care,n/a,NAS
ABIL,Ability Inc.,Finance,$29.36M,NAS
ABMD,"ABIOMED, Inc.",Health Care,$6.17B,NAS
AXAS,Abraxas Petroleum Corporation,Energy,$255.61M,NAS
ACIU,AC Immune SA,Health Care,$500.92M,NAS
ACIA,"Acacia Communications, Inc.",Technology,$1.57B,NAS
ACTG,Acacia Research Corporation,Miscellaneous,$197.29M,NAS
ACHC,"Acadia Healthcare Company, Inc.",Health Care,$4.2B,NAS
ACAD,ACADIA Pharmaceuticals Inc.,Health Care,$3.5B,NAS
ACST,"Acasti Pharma, Inc.",Health Care,$18.98M,NAS
AXDX,"Accelerate Diagnostics, Inc.",Capital Goods,$1.48B,NAS
XLRN,Acceleron Pharma Inc.,Health Care,$1.22B,NAS
ANCX,Access National Corporation,Finance,$543.8M,NAS
ARAY,Accuray Incorporated,Health Care,$369.35M,NAS
ACRX,"AcelRx Pharmaceuticals, Inc.",Health Care,$93.03M,NAS
ACET,Aceto Corporation,Health Care,$453.62M,NAS
AKAO,"Achaogen, Inc.",Health Care,$945.29M,NAS
ACHN,"Achillion Pharmaceuticals, Inc.",Health Care,$665.85M,NAS
ACIW,"ACI Worldwide, Inc.",Technology,$2.55B,NAS
ACRS,"Aclaris Therapeutics, Inc.",Health Care,$734.37M,NAS
ACNB,ACNB Corporation,Finance,$183.22M,NAS
ACOR,"Acorda Therapeutics, Inc.",Health Care,$944.85M,NAS
SQZZ,Active Alts Contrarian ETF,n/a,n/a,NAS
ATVI,"Activision Blizzard, Inc",Technology,$42.67B,NAS
ACTA,Actua Corporation,Technology,$461.93M,NAS
ACXM,Acxiom Corporation,Technology,$2.01B,NAS
ADMS,"Adamas Pharmaceuticals, Inc.",Health Care,$400.23M,NAS
ADMP,Adamis Pharmaceuticals Corporation,Health Care,$152.98M,NAS
ADAP,Adaptimmune Therapeutics plc,Health Care,$453.53M,NAS
ADUS,Addus HomeCare Corporation,Health Care,$435.71M,NAS
AEY,"ADDvantage Technologies Group, Inc.",Consumer Services,$16.1M,NAS
IOTS,Adesto Technologies Corporation,Technology,$70.48M,NAS
ADMA,ADMA Biologics Inc,Health Care,$46.25M,NAS
ADBE,Adobe Systems Incorporated,Technology,$69.45B,NAS
ADOM,"ADOMANI, Inc.",Capital Goods,$1.21B,NAS
ADTN,"ADTRAN, Inc.",Public Utilities,$968.89M,NAS
ADRO,"Aduro Biotech, Inc.",Health Care,$873.92M,NAS
AAAP,Advanced Accelerator Applications S.A.,Health Care,$1.71B,NAS
ADES,"Advanced Emissions Solutions, Inc.",Basic Industries,$201.1M,NAS
AEIS,"Advanced Energy Industries, Inc.",Capital Goods,$2.6B,NAS
AMD,"Advanced Micro Devices, Inc.",Technology,$12.3B,NAS
ADXS,"Advaxis, Inc.",Health Care,$271.1M,NAS
ADXSW,"Advaxis, Inc.",Health Care,n/a,NAS
ADVM,"Adverum Biotechnologies, Inc.",Health Care,$105.03M,NAS
AEGN,Aegion Corp,Basic Industries,$742.5M,NAS
AGLE,"Aeglea BioTherapeutics, Inc.",Health Care,$46.54M,NAS
AEHR,Aehr Test Systems,Capital Goods,$81.02M,NAS
AMTX,"Aemetis, Inc",Basic Industries,$25.8M,NAS
AERI,"Aerie Pharmaceuticals, Inc.",Health Care,$1.97B,NAS
AVAV,"AeroVironment, Inc.",Capital Goods,$904.35M,NAS
AEZS,AEterna Zentaris Inc.,Health Care,$14.65M,NAS
AEMD,"Aethlon Medical, Inc.",Capital Goods,$17.83M,NAS
GNMX,"Aevi Genomic Medicine, Inc.",Health Care,$49.36M,NAS
AFMD,Affimed N.V.,Health Care,$101.06M,NAS
AGEN,Agenus Inc.,Health Care,$393.5M,NAS
AGRX,"Agile Therapeutics, Inc.",Health Care,$107.16M,NAS
AGYS,"Agilysys, Inc.",Technology,$236.77M,NAS
AGIO,"Agios Pharmaceuticals, Inc.",Health Care,$2.6B,NAS
AGNC,AGNC Investment Corp.,Consumer Services,$7.16B,NAS
AGNCB,AGNC Investment Corp.,Consumer Services,$8.91B,NAS
AGNCP,AGNC Investment Corp.,Consumer Services,n/a,NAS
AGFS,"AgroFresh Solutions, Inc.",Finance,$398.22M,NAS
AGFSW,"AgroFresh Solutions, Inc.",Finance,n/a,NAS
ALRN,"Aileron Therapeutics, Inc.",Health Care,$195.65M,NAS
AIMT,"Aimmune Therapeutics, Inc.",Health Care,$1.04B,NAS
AIRT,"Air T, Inc.",Transportation,$41.88M,NAS
ATSG,"Air Transport Services Group, Inc",Transportation,$1.3B,NAS
AIRG,"Airgain, Inc.",Technology,$130.43M,NAS
AMCN,AirMedia Group Inc,Technology,$133.8M,NAS
AKAM,"Akamai Technologies, Inc.",Miscellaneous,$8.53B,NAS
AKTX,Akari Therapeutics Plc,Health Care,$54.88M,NAS
AKCA,"Akcea Therapeutics, Inc.",Health Care,n/a,NAS
AKBA,"Akebia Therapeutics, Inc.",Health Care,$614.36M,NAS
AKER,Akers Biosciences Inc,Health Care,$10.45M,NAS
AKRX,"Akorn, Inc.",Health Care,$4.18B,NAS
AKTS,"Akoustis Technologies, Inc.",Public Utilities,$162.9M,NAS
ALRM,"Alarm.com Holdings, Inc.",Technology,$1.69B,NAS
ALSK,"Alaska Communications Systems Group, Inc.",Public Utilities,$112.53M,NAS
AMRI,"Albany Molecular Research, Inc.",Health Care,$933.93M,NAS
ALBO,"Albireo Pharma, Inc.",Health Care,$216.15M,NAS
ABDC,Alcentra Capital Corp.,n/a,$178.58M,NAS
ADHD,Alcobra Ltd.,Health Care,$30.59M,NAS
ALDR,"Alder BioPharmaceuticals, Inc.",Health Care,$602.4M,NAS
ALDX,"Aldeyra Therapeutics, Inc.",Health Care,$71.12M,NAS
ALXN,"Alexion Pharmaceuticals, Inc.",Health Care,$27.19B,NAS
ALCO,"Alico, Inc.",Consumer Non-Durables,$250.76M,NAS
ALGN,"Align Technology, Inc.",Health Care,$12.03B,NAS
ALIM,"Alimera Sciences, Inc.",Health Care,$91.51M,NAS
ALJJ,"ALJ Regional Holdings, Inc.",Miscellaneous,$110.29M,NAS
ALKS,Alkermes plc,Health Care,$9.11B,NAS
ABTX,"Allegiance Bancshares, Inc.",Finance,$504.31M,NAS
ALGT,Allegiant Travel Company,Transportation,$2.28B,NAS
AIQ,"Alliance HealthCare Services, Inc.",Health Care,$143.51M,NAS
AHGP,"Alliance Holdings GP, L.P.",Energy,$1.45B,NAS
AMMA,"Alliance MMA, Inc.",Consumer Services,$10.25M,NAS
ARLP,"Alliance Resource Partners, L.P.",Energy,$1.44B,NAS
AHPI,"Allied Healthcare Products, Inc.",Health Care,$10.68M,NAS
AMOT,"Allied Motion Technologies, Inc.",Capital Goods,$254.31M,NAS
ALQA,"Alliqua BioMedical, Inc.",Health Care,$17.01M,NAS
ALLT,Allot Communications Ltd.,Technology,$169.21M,NAS
