DDD,3D Systems Corporation,Technology,$2.03B
MMM,3M Company,Health Care,$124.24B
WBAI,500.com Limited,Consumer Services,$452.09M
WUBA,58.com Inc.,Technology,$6.4B
AHC,A.H. Belo Corporation,Consumer Services,$117.35M
ATEN,"A10 Networks, Inc.",Technology,$554.7M
AAC,"AAC Holdings, Inc.",Health Care,$154.3M
AIR,AAR Corp.,Capital Goods,$1.2B
AAN,"Aaron&#39;s,  Inc.",Technology,$2.74B
ABB,ABB Ltd,Consumer Durables,$53.19B
ABT,Abbott Laboratories,Health Care,$83.19B
ABBV,AbbVie Inc.,Health Care,$114.16B
ANF,Abercrombie & Fitch Company,Consumer Services,$834.56M
GCH,"Aberdeen Greater China Fund, Inc.",n/a,$100.69M
JEQ,"Aberdeen Japan Equity Fund, Inc. ",n/a,$112.37M
SGF,"Aberdeen Singapore Fund, Inc.",n/a,$81.24M
ABM,ABM Industries Incorporated,Finance,$2.26B
AKR,Acadia Realty Trust,Consumer Services,$2.31B
ACN,Accenture plc,Miscellaneous,$78.53B
ACCO,Acco Brands Corporation,Consumer Durables,$1.28B
ATV,"Acorn International, Inc.",Consumer Services,$36.95M
ATU,Actuant Corporation,Technology,$1.44B
AYI,Acuity Brands Inc,Consumer Durables,$8.38B
GOLF,Acushnet Holdings Corp.,Consumer Non-Durables,$1.48B
ADX,"Adams Diversified Equity Fund, Inc.",n/a,$1.42B
PEO,"Adams Natural Resources Fund, Inc.",n/a,$529.13M
AGRO,Adecoagro S.A.,Consumer Non-Durables,$1.17B
ADNT,Adient plc,Capital Goods,$6.2B
ATGE,Adtalem Global Education Inc.,Consumer Services,$2.26B
AAP,Advance Auto Parts Inc,Consumer Services,$7.62B
ADSW,"Advanced Disposal Services, Inc.",Public Utilities,$1.99B
WMS,"Advanced Drainage Systems, Inc.",Capital Goods,$1.07B
ASX,"Advanced Semiconductor Engineering, Inc.",Technology,$10.33B
ASIX,AdvanSix Inc.,Basic Industries,$986.12M
AAV,Advantage Oil & Gas Ltd,Energy,$1.24B
AVK,Advent Claymore Convertible Securities and Income Fund,n/a,$379.65M
AGC,Advent Claymore Convertible Securities and Income Fund II,n/a,$200.91M
LCM,Advent/Claymore Enhanced Growth & Income Fund,n/a,$118.21M
ACM,AECOM,Consumer Services,$5.01B
ANW,Aegean Marine Petroleum Network Inc.,Energy,$214.98M
AEB,Aegon NV,Finance,n/a
AED,Aegon NV,Finance,n/a
AEG,Aegon NV,Finance,$11.07B
AEH,Aegon NV,Finance,n/a
AEK,Aegon NV,Finance,n/a
AER,Aercap Holdings N.V.,Technology,$7.91B
HIVE,"Aerohive Networks, Inc.",Technology,$257.33M
AJRD,"Aerojet Rocketdyne Holdings, Inc. ",Capital Goods,$1.59B
AET,Aetna Inc.,Health Care,$50.53B
AMG,"Affiliated Managers Group, Inc.",Finance,$9.41B
MGR,"Affiliated Managers Group, Inc.",Finance,n/a
AFL,Aflac Incorporated,Finance,$30.77B
AFSD,Aflac Incorporated,Finance,n/a
MITT,"AG Mortgage Investment Trust, Inc.",n/a,$510.88M
MITT^A,"AG Mortgage Investment Trust, Inc.",n/a,n/a
MITT^B,"AG Mortgage Investment Trust, Inc.",n/a,n/a
AGCO,AGCO Corporation,Capital Goods,$5.39B
