Top of The Market Rating,Yahoo (1-5)Zacks (1-5),Wall Street Journal Rating (1-5),Street Rank (1-16),Ticker,Company Name,Projected Change % in 12 Months,CNN Recommendation
100.0,1.0,1,1,17,CKPT,"Checkpoint Therapeutics, Inc.",100.0,Buy
100.0,1.0,1,1,17,MNOV,"MediciNova, Inc.",66.64,Buy
97.5,1.5,1,1,17,GSUM,Gridsum Holding Inc.,154.34,Buy
97.5,1.5,1,1,17,LPCN,Lipocine Inc.,299.2,Buy
97.5,1.5,1,1,17,TENX,"Tenax Therapeutics, Inc.",257.14,Buy
97.5,1.5,1,1,17,VLRX,"Valeritas Holdings, Inc.",128.57,Buy
97.0,1.6,1,1,17,ADXS,"Advaxis, Inc.",236.26,Buy
96.5,1.7,1,1,17,AGRX,"Agile Therapeutics, Inc.",94.18,Buy
96.0,1.8,1,1,17,EGLT,Egalet Corporation,440.54,Buy
96.0,1.8,1,1,17,SBPH,"Spring Bank Pharmaceuticals, Inc.",113.07,Buy
96.0,1.8,1,1,17,VRAY,"ViewRay, Inc.",111.42,Buy
95.0,2.0,1,1,17,ADMP,Adamis Pharmaceuticals Corporation,119.78,Buy
95.0,2.0,1,1,17,APVO,Aptevo Therapeutics Inc.,160.42,Buy
95.0,2.0,1,1,17,BCLI,Brainstorm Cell Therapeutics Inc.,65.98,Buy
95.0,2.0,1,1,17,CASI,"CASI Pharmaceuticals, Inc.",266.97,Buy
95.0,2.0,1,1,17,CEMI,"Chembio Diagnostics, Inc.",50.04,Buy
95.0,2.0,1,1,17,CTRV,ContraVir Pharmaceuticals Inc,696.56,Buy
95.0,2.0,1,1,17,CTSO,Cytosorbents Corporation,101.01,Buy
95.0,2.0,1,1,17,DMPI,"DelMar Pharmaceuticals, Inc.",447.62,Buy
95.0,2.0,1,1,17,EYEG,"Eyegate Pharmaceuticals, Inc.",334.78,Buy
95.0,2.0,1,1,17,HTBX,"Heat Biologics, Inc.",473.5,Buy
95.0,2.0,1,1,17,MBVX,"MabVax Therapeutics Holdings, Inc.",1718.18,Buy
95.0,2.0,1,1,17,MDGL,"Madrigal Pharmaceuticals, Inc.",154.05,Buy
95.0,2.0,1,1,17,MRNS,"Marinus Pharmaceuticals, Inc.",159.07,Buy
95.0,2.0,1,1,17,MRDN,"Meridian Waste Solutions, Inc",296.64,Buy
95.0,2.0,1,1,17,NTRP,"Neurotrope, Inc.",276.11,Buy
95.0,2.0,1,1,17,ONCS,OncoSec Medical Incorporated,358.72,Buy
95.0,2.0,1,1,17,PAVM,PAVmed Inc.,194.99,Buy
95.0,2.0,1,1,17,PZRX,"PhaseRx, Inc.",1521.62,Buy
95.0,2.0,1,1,17,QRHC,Quest Resource Holding Corporation.,192.55,Buy
95.0,2.0,1,1,17,RRD,R.R. Donnelley & Sons Company,66.8,Buy
95.0,2.0,1,1,17,SRTS,"Sensus Healthcare, Inc.",86.86,Buy
95.0,2.0,1,1,17,SPHS,"Sophiris Bio, Inc.",189.86,Buy
95.0,1.0,2,1,17,UPL,Ultra Petroleum Corp.,50.38,Buy
95.0,2.0,1,1,17,VKTX,"Viking Therapeutics, Inc.",557.89,Buy
95.0,2.0,1,1,17,ZSAN,Zosano Pharma Corporation,207.69,Buy
95.0,2.0,1,1,17,RRD,R.R. Donnelley & Sons Company,66.8,Buy
93.95,1.6,1,1,17,NBIX,"Neurocrine Biosciences, Inc.",34.75,Buy
93.76,1.0,1,1,4,LOAN,"Manhattan Bridge Capital, Inc",32.57,Buy
93.61,2.0,1,1,3,TGS,Transportadora De Gas Sa Ord B,53.01,Buy
93.5,1.3,2,1,17,ALBO,"Albireo Pharma, Inc.",136.73,Buy
93.5,1.3,2,1,17,VRNA,Verona Pharma plc,111.66,Buy
92.89,1.0,1,1,5,USNA,"USANA Health Sciences, Inc.",34.03,Buy
92.5,1.5,2,1,17,BLPH,"Bellerophon Therapeutics, Inc.",232.19,Buy
92.5,1.5,1,2,17,NVIV,InVivo Therapeutics Holdings Corp.,522.34,Buy
92.5,1.5,2,1,17,SNDX,"Syndax Pharmaceuticals, Inc.",102.25,Buy
92.36,1.0,1,1,3,HOFT,Hooker Furniture Corporation,17.51,Buy
92.18,1.5,1,1,17,ALEX,"Alexander & Baldwin Holdings, Inc.",23.38,Buy
91.45,1.3,1,1,1,PFBC,Preferred Bank,6.2,Buy
90.81,2.0,1,1,17,JILL,"J. Jill, Inc.",29.03,Buy
90.8,1.6,1,1,1,QCRH,"QCR Holdings, Inc.",9.8,Buy
90.31,1.8,1,1,17,ARCH,"Arch Coal, Inc.",21.53,Buy
90.28,1.5,1,1,6,QUAD,"Quad Graphics, Inc",37.52,Buy
90.24,1.0,1,1,17,PJT,PJT Partners Inc.,1.21,Buy
90.21,1.5,1,1,5,NSSC,"NAPCO Security Technologies, Inc.",30.43,Buy
90.18,1.0,1,1,6,SWM,"Schweitzer-Mauduit International, Inc.",24.42,Buy
90.03,1.5,2,1,1,CASH,"Meta Financial Group, Inc.",27.66,Buy
90.0,2.0,1,2,17,ADMA,ADMA Biologics Inc,256.16,Buy
90.0,1.0,3,1,17,CLRB,"Cellectar Biosciences, Inc.",91.36,Buy
90.0,2.0,1,2,17,CFRX,ContraFect Corporation,323.08,Buy
90.0,1.0,3,1,17,NVCN,Neovasc Inc.,291.3,Buy
90.0,1.0,3,1,17,PRKR,"ParkerVision, Inc.",555.27,Buy
90.0,1.0,3,1,17,TGLS,Tecnoglass Inc.,91.29,Buy
90.0,1.0,3,1,17,XBIO,"Xenetic Biosciences, Inc.",222.58,Buy
90.0,1.0,3,1,17,YIN,Yintech Investment Holdings Limited,64.09,Buy
89.94,2.0,1,1,3,PDEX,"Pro-Dex, Inc.",28.0,Buy
89.59,1.8,1,1,5,MU,"Micron Technology, Inc.",34.21,Buy
89.44,1.7,1,1,4,APOG,"Apogee Enterprises, Inc.",24.15,Buy
89.44,1.3,1,1,5,GTN,"Gray Television, Inc.",20.81,Buy
89.34,1.0,1,1,8,JAX,"J. Alexander&#39;s Holdings, Inc.",32.7,Buy
89.34,1.7,1,1,5,MXL,"MaxLinear, Inc",30.21,Buy
89.26,1.0,1,1,5,JBSS,"John B. Sanfilippo & Son, Inc.",12.24,Buy
89.14,1.5,1,1,17,PCSB,PCSB Financial Corporation,8.19,Buy
89.1,1.0,1,1,6,LCUT,"Lifetime Brands, Inc.",17.95,Buy
89.1,2.0,1,1,5,GFF,Griffon Corporation,36.25,Buy
89.04,1.5,1,1,6,HMTV,"Hemisphere Media Group, Inc.",30.08,Buy
89.03,2.0,1,1,17,INSE,"Inspired Entertainment, Inc.",20.17,Buy
89.0,2.2,1,2,17,GNMX,"Aevi Genomic Medicine, Inc.",376.19,Buy
89.0,2.2,2,1,17,RTTR,"Ritter Pharmaceuticals, Inc.",524.89,Buy
89.0,2.2,2,1,17,KDMN,"Kadmon Holdings, Inc.",191.97,Buy
88.99,1.5,1,1,3,AGO,Assured Guaranty Ltd.,9.77,Buy
88.89,1.0,1,1,11,JASN,"Jason Industries, Inc.",159.52,Buy
88.89,1.0,1,1,11,LXU,Lsb Industries Inc.,83.01,Buy
88.75,2.0,1,1,7,CETX,Cemtrex Inc.,47.49,Buy
88.55,1.0,1,2,4,CENTA,Central Garden & Pet Company,26.31,Buy
88.5,1.3,3,1,17,ARDX,"Ardelyx, Inc.",130.09,Buy
88.5,1.3,3,1,17,FCSC,Fibrocell Science Inc,77.9,Buy
88.5,1.3,3,1,17,NH,"NantHealth, Inc.",83.07,Buy
88.5,1.3,3,1,17,XENE,Xenon Pharmaceuticals Inc.,71.64,Buy
88.5,1.3,3,1,17,ZYME,Zymeworks Inc.,167.23,Buy
88.45,1.8,1,1,17,DSKE,"Daseke, Inc.",12.26,Buy
88.44,1.5,1,1,8,BBW,"Build-A-Bear Workshop, Inc.",39.81,Buy
88.4,2.0,1,1,2,CAC,Camden National Corporation,12.08,Buy
88.37,2.0,1,1,4,FDP,"Fresh Del Monte Produce, Inc.",25.22,Buy
88.36,1.9,1,1,1,LRCX,Lam Research Corporation,2.68,Buy
88.23,2.0,1,1,2,CVCO,"Cavco Industries, Inc.",11.03,Buy
88.2,1.0,1,1,9,OPY,"Oppenheimer Holdings, Inc.",32.53,Buy
88.06,2.0,1,1,8,LTRX,"Lantronix, Inc.",71.67,Buy
88.04,1.5,1,1,5,CWCO,Consolidated Water Co. Ltd.,17.42,Buy
88.03,2.0,1,1,3,SMBC,"Southern Missouri Bancorp, Inc.",16.5,Buy
88.0,1.4,3,1,17,WAAS,AquaVenture Holdings Limited,67.7,Buy
87.5,1.5,3,1,17,AQXP,"Aquinox Pharmaceuticals, Inc.",69.49,Buy
