Top of The Market Rating,Yahoo (1-5)Zacks (1-5),Wall Street Journal Rating (1-5),Street Rank (1-16),Ticker,Company Name,Projected Change % in 12 Months,CNN Recommendation
95.0,1.0,2,1,17,UPL,Ultra Petroleum Corp.,50.38,Buy
93.94,1.6,1,1,17,NBIX,"Neurocrine Biosciences, Inc.",34.69,Buy
93.61,2.0,1,1,3,TGS,Transportadora De Gas Sa Ord B,53.01,Buy
92.89,1.0,1,1,5,USNA,"USANA Health Sciences, Inc.",34.03,Buy
92.18,1.5,1,1,17,ALEX,"Alexander & Baldwin Holdings, Inc.",23.38,Buy
90.31,1.8,1,1,17,ARCH,"Arch Coal, Inc.",21.53,Buy
90.28,1.5,1,1,6,QUAD,"Quad Graphics, Inc",37.52,Buy
90.18,1.0,1,1,6,SWM,"Schweitzer-Mauduit International, Inc.",24.42,Buy
89.59,1.8,1,1,5,MU,"Micron Technology, Inc.",34.18,Buy
89.55,1.7,1,1,4,APOG,"Apogee Enterprises, Inc.",24.79,Buy
89.34,1.7,1,1,5,MXL,"MaxLinear, Inc",30.21,Buy
89.1,2.0,1,1,5,GFF,Griffon Corporation,36.25,Buy
88.99,1.5,1,1,3,AGO,Assured Guaranty Ltd.,9.77,Buy
88.52,1.0,1,2,4,CENTA,Central Garden & Pet Company,26.15,Buy
88.37,2.0,1,1,4,FDP,"Fresh Del Monte Produce, Inc.",25.22,Buy
88.33,1.9,1,1,1,LRCX,Lam Research Corporation,2.47,Buy
88.21,2.0,1,1,2,CVCO,"Cavco Industries, Inc.",10.9,Buy
87.44,1.0,1,1,6,KB,KB Financial Group Inc,7.99,Buy
87.41,1.5,1,2,1,THO,"Thor Industries, Inc.",11.97,Buy
87.39,1.5,1,1,3,ALGN,"Align Technology, Inc.",0.2,Buy
87.22,1.5,2,1,17,TWNK,"Hostess Brands, Inc.",23.61,Buy
87.03,2.0,1,1,2,NOVT,Novanta Inc.,3.86,Buy
87.02,1.5,2,1,1,CVGW,"Calavo Growers, Inc.",9.6,Buy
87.0,1.6,3,1,17,AIMT,"Aimmune Therapeutics, Inc.",73.28,Buy
86.81,1.8,1,1,4,GOOG,Alphabet Inc.,10.84,Buy
86.79,2.0,1,1,6,DAL,"Delta Air Lines, Inc.",29.08,Buy
86.42,1.6,2,1,1,TMO,Thermo Fisher Scientific Inc,8.53,Buy
86.36,1.5,1,1,17,LEXEA,"Liberty Expedia Holdings, Inc.",-5.71,Buy
86.13,1.5,2,1,17,AZUL,Azul S.A.,18.16,Buy
86.05,1.0,1,2,17,JHX,James Hardie Industries plc.,5.27,Buy
86.03,1.3,2,1,1,LCII,LCI Industries ,12.65,
86.0,1.8,3,1,17,GBT,"Global Blood Therapeutics, Inc.",91.76,Buy
85.8,1.7,1,1,5,AVGO,Broadcom Limited,8.95,Buy
85.55,1.8,2,1,2,WAL,Western Alliance Bancorporation,14.97,Buy
85.5,1.5,3,1,3,EBIX,"Ebix, Inc.",38.86,Buy
85.42,1.6,1,1,6,FUN,"Cedar Fair, L.P.",10.84,Buy
85.24,1.0,1,2,17,CUK,Carnival Corporation,1.21,Buy
85.19,1.0,2,1,17,IBN,ICICI Bank Limited,0.97,Buy
85.13,1.7,2,1,1,UNH,UnitedHealth Group Incorporated,3.28,Buy
84.93,1.9,2,1,2,NWL,Newell Brands Inc.,13.74,Buy
84.8,1.0,1,2,17,ING,"ING Group, N.V.",-0.98,Buy
84.68,1.9,2,1,2,MHK,"Mohawk Industries, Inc.",12.23,Buy
84.63,1.9,1,1,5,BAM,Brookfield Asset Management Inc,6.97,Buy
84.61,1.8,2,1,5,NGHC,National General Holdings Corp,29.35,Buy
84.61,3.0,1,2,17,GSH,Guangshen Railway Company Limited,48.06,Buy
84.57,1.0,4,1,17,CDEV,"Centennial Resource Development, Inc.",47.84,Buy
84.39,1.7,1,1,6,BABA,Alibaba Group Holding Limited,7.2,Buy
84.37,2.0,1,1,5,PBA,Pembina Pipeline Corp.,7.86,Buy
84.31,2.0,1,1,6,TSEM,Tower Semiconductor Ltd.,14.18,Buy
84.27,1.9,2,1,17,AERI,"Aerie Pharmaceuticals, Inc.",18.83,Buy
84.27,1.9,2,1,1,V,Visa Inc.,3.12,Buy
84.14,1.7,2,1,2,EEFT,"Euronet Worldwide, Inc.",4.03,Buy
84.01,1.7,2,1,2,FB,"Facebook, Inc.",3.25,Buy
83.92,1.9,2,1,1,NEE,"NextEra Energy, Inc.",1.04,Buy
83.89,2.2,1,1,5,LBRDA,Liberty Broadband Corporation,9.98,Buy
83.88,1.7,2,1,2,COHR,"Coherent, Inc.",2.46,Buy
83.82,1.5,1,2,4,SNX,Synnex Corporation,10.41,Buy
83.81,1.5,1,2,3,MFC,Manulife Financial Corp,3.68,Buy
83.75,1.0,3,1,5,IX,Orix Corp Ads,29.18,Buy
83.75,1.0,2,2,17,TTM,Tata Motors Ltd,18.74,Buy
83.74,1.4,2,1,4,DOOR,Masonite International Corporation,7.46,Buy
83.69,1.4,1,6,5,ABMD,"ABIOMED, Inc.",5.11,Buy
83.65,1.9,3,1,17,PUMP,ProPetro Holding Corp.,40.74,Buy
83.64,1.8,1,1,6,TRP,TransCanada Corporation,5.18,Buy
