WOC Score,Ticker,Company Name,Yahoo (1-5),Zacks (1-5),Wall Street Journal Rating (1-5),MorningStar (1-5),Street Rank (1-16),Ticker,Company Name,Projected Change % in 12 Months,CNN Recommendation
94.74,NBIX,"Neurocrine Biosciences, Inc.",1.6,1,1,1,17,NBIX,"Neurocrine Biosciences, Inc.",33.44,Buy
93.61,TGS,Transportadora De Gas Sa Ord B,2,1,1,6,3,TGS,Transportadora De Gas Sa Ord B,53.92,Buy
93.21,USNA,"USANA Health Sciences, Inc.",1,1,1,6,5,USNA,"USANA Health Sciences, Inc.",35.92,Buy
91.11,APOG,"Apogee Enterprises, Inc.",1.7,1,1,1,4,APOG,"Apogee Enterprises, Inc.",25.29,Buy
90.89,QUAD,"Quad Graphics, Inc",1.5,1,1,6,6,QUAD,"Quad Graphics, Inc",41.16,Buy
90.7,TWNK,"Hostess Brands, Inc.",1.5,2,1,1,17,TWNK,"Hostess Brands, Inc.",31.67,Buy
90.49,SWM,"Schweitzer-Mauduit International, Inc.",1,1,1,6,6,SWM,"Schweitzer-Mauduit International, Inc.",26.28,Buy
90.12,NTRI,NutriSystem Inc,1.6,1,1,1.7,1,NTRI,NutriSystem Inc,13.37,Buy
89.89,MXL,"MaxLinear, Inc",1.7,1,1,6,5,MXL,"MaxLinear, Inc",33.49,Buy
89.63,MU,"Micron Technology, Inc.",1.8,1,1,1.5,5,MU,"Micron Technology, Inc.",36.61,Buy
89.38,GFF,Griffon Corporation,2,1,1,6,5,GFF,Griffon Corporation,37.93,Buy
89.06,KB,KB Financial Group Inc,1,1,1,6,6,KB,KB Financial Group Inc,17.68,Buy
89.04,LRCX,Lam Research Corporation,1.9,1,1,1.5,1,LRCX,Lam Research Corporation,8.29,Buy
88.98,AGO,Assured Guaranty Ltd.,1.5,1,1,6,3,AGO,Assured Guaranty Ltd.,9.69,Buy
88.97,CVGW,"Calavo Growers, Inc.",1.5,2,1,1,1,CVGW,"Calavo Growers, Inc.",10.27,Buy
88.63,CVCO,"Cavco Industries, Inc.",2,1,1,6,2,CVCO,"Cavco Industries, Inc.",13.46,Buy
88.61,FDP,"Fresh Del Monte Produce, Inc.",2,1,1,6,4,FDP,"Fresh Del Monte Produce, Inc.",26.63,Buy
88.58,NGHC,National General Holdings Corp,1.8,1,1,6,5,NGHC,National General Holdings Corp,28.15,Buy
88.5,ALGN,"Align Technology, Inc.",1.5,1,1,1,3,ALGN,"Align Technology, Inc.",-4.66,Buy
88.33,GBT,"Global Blood Therapeutics, Inc.",1.8,3,1,1,17,GBT,"Global Blood Therapeutics, Inc.",103.04,Buy
87.73,THO,"Thor Industries, Inc.",1.5,1,2,6,1,THO,"Thor Industries, Inc.",13.86,Buy
87.41,CENTA,Central Garden & Pet Company,1,1,2,2,4,CENTA,Central Garden & Pet Company,31.88,Buy
87.24,NOVT,Novanta Inc.,2,1,1,6,2,NOVT,Novanta Inc.,5.12,Buy
87.18,INSM,"Insmed, Inc.",1.7,3,1,1,17,INSM,"Insmed, Inc.",40.59,Buy
87.17,AVGO,Broadcom Limited,1.7,1,1,1.3,5,AVGO,Broadcom Limited,11.83,Buy
87.14,COHR,"Coherent, Inc.",1.7,2,1,1,2,COHR,"Coherent, Inc.",9.13,Buy
87.13,DAL,"Delta Air Lines, Inc.",2,1,1,6,6,DAL,"Delta Air Lines, Inc.",31.13,Buy
86.91,TSEM,Tower Semiconductor Ltd.,2,1,1,1,6,TSEM,Tower Semiconductor Ltd.,16.67,Buy
86.6,AERI,"Aerie Pharmaceuticals, Inc.",1.9,2,1,1,17,AERI,"Aerie Pharmaceuticals, Inc.",17.12,Buy
86.1,PLAY,"Dave & Buster&#39;s Entertainment, Inc.",1.6,2,6,1,4,PLAY,"Dave & Buster&#39;s Entertainment, Inc.",26.61,Buy
85.98,OSUR,"OraSure Technologies, Inc.",1.4,2,1,1,4,OSUR,"OraSure Technologies, Inc.",6.86,Buy
85.77,FNGN,"Financial Engines, Inc.",1.5,2,1,1,6,FNGN,"Financial Engines, Inc.",21.21,Buy
85.72,BGNE,"BeiGene, Ltd.",1.7,2,1,1,17,BGNE,"BeiGene, Ltd.",6.84,Buy
85.7,WAL,Western Alliance Bancorporation,1.8,2,1,6,2,WAL,Western Alliance Bancorporation,15.88,Buy
85.38,LOPE,"Grand Canyon Education, Inc.",1.5,3,1,1,2,LOPE,"Grand Canyon Education, Inc.",16.82,Buy
85.3,LBRDA,Liberty Broadband Corporation,2.2,1,1,1,5,LBRDA,Liberty Broadband Corporation,3.77,Buy
85.23,EBIX,"Ebix, Inc.",1.5,3,1,6,3,EBIX,"Ebix, Inc.",37.19,Buy
85.09,CDEV,"Centennial Resource Development, Inc.",1,4,1,1,17,CDEV,"Centennial Resource Development, Inc.",35.53,Buy
85,AIMT,"Aimmune Therapeutics, Inc.",1.6,4,1,1,17,AIMT,"Aimmune Therapeutics, Inc.",75.93,Buy
85,OPK,"Opko Health, Inc.",1.8,2,1,1,10,OPK,"Opko Health, Inc.",90.17,Buy
84.95,SABR,Sabre Corporation,1.9,2,1,1.2,5,SABR,Sabre Corporation,23.8,Buy
84.9,ETFC,E*TRADE Financial Corporation,2.3,1,2,1,2,ETFC,E*TRADE Financial Corporation,8.48,Buy
84.88,HCM,Hutchison China MediTech Limited,1.3,3,1,1,17,HCM,Hutchison China MediTech Limited,16.78,Buy
84.88,PBA,Pembina Pipeline Corp.,2,1,1,6,5,PBA,Pembina Pipeline Corp.,10.95,Buy
84.87,BAM,Brookfield Asset Management Inc,1.9,1,1,6,5,BAM,Brookfield Asset Management Inc,8.38,Buy
84.66,PPBI,Pacific Premier Bancorp Inc,1.9,3,1,1,2,PPBI,Pacific Premier Bancorp Inc,21.81,Buy
84.47,PAM,Pampa Energia S.A.,2,1,1,1,11,PAM,Pampa Energia S.A.,32.94,Buy
84.42,PSDO,"Presidio, Inc.",1.9,3,1,1,17,PSDO,"Presidio, Inc.",29.03,Buy
84.35,BABA,Alibaba Group Holding Limited,1.7,1,1,6,6,BABA,Alibaba Group Holding Limited,6.94,Buy
84.33,SBGI,"Sinclair Broadcast Group, Inc.",1.6,3,1,1,5,SBGI,"Sinclair Broadcast Group, Inc.",31.97,Buy
84.14,NXST,"Nexstar Media Group, Inc.",1.4,3,1,1,5,NXST,"Nexstar Media Group, Inc.",25.65,Buy
84.14,SIMO,Silicon Motion Technology Corporation,2.3,3,1,1,3,SIMO,Silicon Motion Technology Corporation,34.78,Buy
84.08,DOOR,Masonite International Corporation,1.4,2,1,6,4,DOOR,Masonite International Corporation,9.47,Buy
84.06,ORBK,Orbotech Ltd.,1.7,3,1,1,2,ORBK,Orbotech Ltd.,12.58,Buy
84.06,UNIT,Uniti Group Inc.,1.7,3,1,1,17,UNIT,Uniti Group Inc.,21.86,Buy
84.05,OCLR,"Oclaro, Inc.",1.8,3,1,1,3,OCLR,"Oclaro, Inc.",21.7,Buy
84.04,MHK,"Mohawk Industries, Inc.",1.9,2,1,6,2,MHK,"Mohawk Industries, Inc.",8.39,Buy
83.95,SNX,Synnex Corporation,1.5,1,2,6,4,SNX,Synnex Corporation,11.2,Buy
83.87,FB,"Facebook, Inc.",1.7,2,1,1.6,2,FB,"Facebook, Inc.",1.23,Buy
83.81,AMRN,Amarin Corporation plc,1.6,2,1,1,12,AMRN,Amarin Corporation plc,78.57,Buy
83.75,XOG,"Extraction Oil & Gas, Inc.",1.9,3,2,1,17,XOG,"Extraction Oil & Gas, Inc.",67.2,Buy
83.75,XNCR,"Xencor, Inc.",1.6,3,1,1,8,XNCR,"Xencor, Inc.",47.9,Buy
83.71,TRP,TransCanada Corporation,1.8,1,1,6,6,TRP,TransCanada Corporation,5.61,Buy
83.7,CBPO,"China Biologic Products, Inc.",1.6,3,6,1,4,CBPO,"China Biologic Products, Inc.",37.17,Buy
83.66,MMSI,"Merit Medical Systems, Inc.",1.6,1,1,2,5,MMSI,"Merit Medical Systems, Inc.",2.31,Buy
83.61,VDTH,Videocon d2h Limited,2,1,1,6,12,VDTH,Videocon d2h Limited,63.84,Buy
83.59,GOOG,Alphabet Inc.,1.8,6,1,1.8,4,GOOG,Alphabet Inc.,11.57,Buy
83.58,HCSG,"Healthcare Services Group, Inc.",2,1,2,1,3,HCSG,"Healthcare Services Group, Inc.",-1.63,Buy
83.55,HAWK,"Blackhawk Network Holdings, Inc.",1.9,1,1,1.4,8,HAWK,"Blackhawk Network Holdings, Inc.",14.03,Buy
83.55,SHW,Sherwin-Williams Company (The),2.2,1,2,6,1,SHW,Sherwin-Williams Company (The),6.31,Buy
83.47,FMS,Fresenius Medical Care Corporation,2,1,2,6,2,FMS,Fresenius Medical Care Corporation,7.51,Buy
83.45,LHCG,LHC Group,1.8,3,1,1,3,LHCG,LHC Group,17.5,Buy
83.44,OC,Owens Corning Inc,2.2,1,2,6,1,OC,Owens Corning Inc,5.62,Buy
83.33,STMP,Stamps.com Inc.,1.7,3,1,1,3,STMP,Stamps.com Inc.,14.17,Buy
83.31,FSS,Federal Signal Corporation,2,1,1,6,6,FSS,Federal Signal Corporation,8.17,Buy
83.2,CIEN,Ciena Corporation,2,1,2,6,5,CIEN,Ciena Corporation,25.84,Buy
