Rating,Ticker,Company Name,Yahoo (1-5),Zacks (1-5),Wall Street Journal Rating (1-5),MorningStar (1-5),Street Rank (1-16),Projected Change % in 12 Months,CNN Recommendation
97.3,NTRI,NutriSystem Inc,1.40,1,1,1.0,1,33.82,1
95.0,UNIT,Uniti Group Inc.,1.90,2,1,1.0,17,67.24,1
94.8,SKYW,"SkyWest, Inc.",2.00,1,1,1.0,5,45.45,1
94.5,TTD,"The Trade Desk, Inc.",1.90,1,1,1.0,17,22.49,1
93.33,GFF,Griffon Corporation,2.00,1,1,6,6,54.7,1
92.77,LRCX,Lam Research Corporation,2.00,1,1,1.5,1,19.14,1
92.06,MTZ,"MasTec, Inc.",1.70,1,1,6,5,36.99,1
92.0,QUAD,"Quad Graphics, Inc",1.50,1,1,6,7,69.54,1
91.37,AERI,"Aerie Pharmaceuticals, Inc.",1.90,2,1,1.0,17,31.86,1
91.29,QVCB,Liberty Interactive Corporation,6,1,1,1.7000000000000002,17,23.95,1
91.29,TSEM,Tower Semiconductor Ltd.,2.00,1,1,1.0,5,24.38,1
91.22,TGS,Transportadora De Gas Sa Ord B,2.00,1,1,6,3,19.45,1
91.06,AMAT,"Applied Materials, Inc.",1.90,1,1,1.7000000000000002,2,20.51,1
90.79,FDP,"Fresh Del Monte Produce, Inc.",2.00,1,1,6,5,30.63,1
90.79,TLK,"PT Telekomunikasi Indonesia, Tbk",3.00,1,1,6,1,3.94,1
90.77,LHCG,LHC Group,1.70,1,1,1.0,3,7.94,1
90.36,MU,"Micron Technology, Inc.",1.80,1,1,1.5,5,31.32,1
90.07,BRKS,"Brooks Automation, Inc.",1.70,1,1,6,4,20.36,1
90.0,AMRN,Amarin Corporation plc,1.60,3,1,1.0,17,178.23,1
90.0,GBT,"Global Blood Therapeutics, Inc.",1.70,3,1,1.0,17,95.57,1
90.0,INSM,"Insmed, Inc.",1.80,3,1,1.0,17,100.0,1
90.0,NCSM,"NCS Multistage Holdings, Inc.",1.80,3,1,1.0,17,50.26,1
89.67,TAL,TAL Education Group,1.80,2,1,6,5,464.07,1
89.62,CVCO,"Cavco Industries, Inc.",2.00,1,1,6,4,18.11,1
89.6,MKSI,"MKS Instruments, Inc.",1.70,1,2,1.0,3,25.94,1
89.57,SNE,Sony Corp Ord,1.00,1,1,6,4,17.84,1
89.36,ESPR,"Esperion Therapeutics, Inc.",2.10,3,1,1.0,17,46.82,1
88.73,AGO,Assured Guaranty Ltd.,1.50,1,1,6,4,13.64,1
88.66,SWM,"Schweitzer-Mauduit International, Inc.",1.00,1,1,6,6,26.62,1
88.63,USNA,"USANA Health Sciences, Inc.",1.00,1,1,6,5,19.8,1
88.33,APOG,"Apogee Enterprises, Inc.",1.70,3,1,1.0,4,56.66,1
88.33,KB,KB Financial Group Inc,1.00,1,1,6,6,24.97,1
88.2,WAL,Western Alliance Bancorporation,1.80,2,1,6,2,22.67,1
88.14,ORBK,Orbotech Ltd.,1.70,2,1,1.0,2,10.5,1
87.98,ETFC,E*TRADE Financial Corporation,2.30,1,2,1.0,2,9.55,1
87.69,GOOG,Alphabet Inc.,1.80,1,1,1.7999999999999998,4,16.16,1
87.5,COHR,"Coherent, Inc.",1.70,3,1,1.0,2,31.64,1
87.44,TRP,TransCanada Corporation,1.80,1,1,6,5,13.87,1
87.33,IIVI,II-VI Incorporated,2.20,3,1,1.0,2,30.62,1
87.27,ALXN,"Alexion Pharmaceuticals, Inc.",1.90,1,1,1.5999999999999996,6,21.94,1
87.22,SBGI,"Sinclair Broadcast Group, Inc.",1.60,3,1,1.0,5,71.33,1
87.22,TEDU,"Tarena International, Inc.",1.90,3,1,1.0,5,56.58,1
87.17,LOPE,"Grand Canyon Education, Inc.",1.50,2,1,1.0,2,4.69,1
87.11,PSDO,"Presidio, Inc.",1.90,3,1,1.0,17,35.54,1
87.1,NSP,"Insperity, Inc.",2.00,1,2,6,3,23.82,1
86.99,MMSI,"Merit Medical Systems, Inc.",1.60,1,1,2.0,3,10.3,1
86.98,OC,Owens Corning Inc,2.20,1,2,6,1,9.89,1
86.92,SSNC,"SS&C Technologies Holdings, Inc.",1.90,2,1,1.5,2,15.67,1
86.7,STL,Sterling Bancorp,2.50,2,1,6,4,28.52,1
86.62,NBIX,"Neurocrine Biosciences, Inc.",1.60,1,1,1.0,10,29.69,1
86.61,IPGP,IPG Photonics Corporation,1.90,1,2,1.4000000000000004,2,11.34,1
86.61,FN,Fabrinet,1.70,3,1,6,3,46.39,1
86.59,PLAY,"Dave & Buster&#39;s Entertainment, Inc.",1.60,2,6,1.0,4,27.95,1
86.59,EGRX,"Eagle Pharmaceuticals, Inc.",2.30,1,2,1.0,8,41.19,1
86.5,BAM,Brookfield Asset Management Inc,1.90,1,1,6,5,9.15,1
86.48,PAC,"Grupo Aeroportuario Del Pacifico, S.A. de C.V.",3.10,1,2,6,1,7.41,1
86.34,KRNY,Kearny Financial,2.30,1,2,1.0,5,19.72,1
86.04,BYSI,"BeyondSpring, Inc.",2.00,3,1,1.0,17,30.21,1
85.97,AAOI,"Applied Optoelectronics, Inc.",2.10,1,2,2.3,5,54.87,1
85.86,DLX,Deluxe Corporation,2.00,1,2,6,3,17.63,1
85.78,ROG,Rogers Corporation,1.80,2,1,6,3,17.21,1
85.77,MCHP,Microchip Technology Incorporated,1.90,1,2,2.0,1,14.6,1
85.75,ESNT,Essent Group Ltd.,2.30,1,2,6,2,10.44,1
85.74,SIMO,Silicon Motion Technology Corporation,2.30,3,1,1.0,3,27.78,1
85.67,AGRO,Adecoagro S.A.,2.00,1,2,6,8,53.47,1
85.65,DY,"Dycom Industries, Inc.",1.70,3,1,6,4,48.25,1
85.6,NXST,"Nexstar Media Group, Inc.",1.40,3,1,1.0,5,40.26,1
85.34,ENTG,"Entegris, Inc.",2.10,1,2,2.0,2,18.73,1
85.33,VDTH,Videocon d2h Limited,2.00,1,1,6,12,56.76,1
85.32,CBG,"CBRE Group, Inc.",1.90,1,2,6,3,14.94,1
85.25,LBRDA,Liberty Broadband Corporation,2.20,1,1,1.0,7,1.48,1
85.19,FOX,"Twenty-First Century Fox, Inc.",2.00,1,2,1.5999999999999996,6,34.48,1
85.18,MOMO,Momo Inc.,1.80,3,1,1.0,5,37.74,1
85.14,FNSR,Finisar Corporation,1.80,3,1,1.5,5,56.85,1
85.0,AIMT,"Aimmune Therapeutics, Inc.",1.60,4,1,1.0,17,96.89,1
