Top of The Market Rating,Yahoo (1-5),Zacks (1-5),Wall Street Journal Rating (1-5),MorningStar (1-5),Street Rank (1-16),Ticker,Company Name,Projected Change % in 12 Months,CNN Recommendation
96.67,1.4,1,1,1.0,1,NTRI,NutriSystem Inc,36.7,Buy
93.12,2.0,1,1,6,3,TGS,Transportadora De Gas Sa Ord B,47.06,Buy
93.06,1.6,1,1,1.0,17,NBIX,"Neurocrine Biosciences, Inc.",23.36,Buy
92.36,1.5,1,1,6,6,QUAD,"Quad Graphics, Inc",66.06,Buy
91.85,1.9,1,1,1.5,1,LRCX,Lam Research Corporation,27.96,Buy
91.26,1.0,1,1,6,5,USNA,"USANA Health Sciences, Inc.",24.23,Buy
91.1,1.7,1,1,1.0,4,APOG,"Apogee Enterprises, Inc.",25.22,Buy
91.06,1.4,1,1,1.0,3,ALGN,"Align Technology, Inc.",10.75,Buy
90.59,1.8,1,1,1.5,5,MU,"Micron Technology, Inc.",43.27,Buy
90.48,1.6,2,1,1.0,5,SBGI,"Sinclair Broadcast Group, Inc.",54.46,Buy
90.23,2.0,1,1,1.0,4,TSEM,Tower Semiconductor Ltd.,26.63,Buy
89.8,1.0,1,1,6,6,SWM,"Schweitzer-Mauduit International, Inc.",22.11,Buy
89.52,2.0,1,1,6,6,GFF,Griffon Corporation,45.45,Buy
89.49,1.0,1,1,6,4,SNE,Sony Corp Ord,6.92,Buy
89.48,1.0,1,1,6,6,KB,KB Financial Group Inc,20.2,Buy
89.47,1.8,1,1,6,5,NGHC,National General Holdings Corp,33.5,Buy
89.18,2.0,1,1,6,4,FDP,"Fresh Del Monte Produce, Inc.",30.08,Buy
89.11,1.5,1,1,6,3,AGO,Assured Guaranty Ltd.,10.48,Buy
88.79,1.5,2,1,1.0,1,CVGW,"Calavo Growers, Inc.",9.0,Buy
88.75,1.7,3,1,1.0,17,GBT,"Global Blood Therapeutics, Inc.",81.66,Buy
88.75,1.7,3,1,1.0,17,INSM,"Insmed, Inc.",62.43,Buy
88.17,1.7,3,1,1.0,17,UNIT,Uniti Group Inc.,46.52,Buy
87.97,1.6,3,1,1.0,2,COHR,"Coherent, Inc.",37.45,Buy
87.59,1.8,1,1,1.2000000000000002,6,ALXN,"Alexion Pharmaceuticals, Inc.",21.49,Buy
87.43,2.0,1,1,6,2,CVCO,"Cavco Industries, Inc.",6.23,Buy
87.41,1.9,2,1,1.0,17,AERI,"Aerie Pharmaceuticals, Inc.",21.93,Buy
87.08,2.0,1,1,6,2,NOVT,Novanta Inc.,4.14,Buy
87.01,2.0,1,1,6,6,DAL,"Delta Air Lines, Inc.",30.41,Buy
86.84,1.0,4,1,1.0,17,CDEV,"Centennial Resource Development, Inc.",46.03,Buy
86.58,1.6,2,6,1.0,4,PLAY,"Dave & Buster&#39;s Entertainment, Inc.",29.51,Buy
86.32,1.8,2,1,1.0,3,LHCG,LHC Group,12.57,Buy
86.28,1.8,3,1,1.0,3,OCLR,"Oclaro, Inc.",37.3,Buy
85.79,1.4,3,1,1.0,5,NXST,"Nexstar Media Group, Inc.",37.18,Buy
85.78,1.7,2,1,1.0,17,BGNE,"BeiGene, Ltd.",7.18,Buy
85.69,1.5,3,1,6,3,EBIX,"Ebix, Inc.",39.96,Buy
85.66,1.0,1,2,2.0,4,CENTA,Central Garden & Pet Company,19.6,Buy
85.61,1.9,2,1,1.5,2,SSNC,"SS&C Technologies Holdings, Inc.",15.97,Buy
85.52,1.7,2,2,1.0,3,MKSI,"MKS Instruments, Inc.",29.45,Buy
85.5,1.5,2,1,1.0,6,FNGN,"Financial Engines, Inc.",19.33,Buy
85.48,1.8,2,1,6,2,WAL,Western Alliance Bancorporation,14.53,Buy
85.42,1.8,1,1,6,5,TRP,TransCanada Corporation,9.17,Buy
85.41,1.7,2,1,1.5999999999999996,2,FB,"Facebook, Inc.",12.02,Buy
85.41,1.9,3,1,1.0,17,PSDO,"Presidio, Inc.",34.93,Buy
85.34,1.5,2,1,1.0,4,LOPE,"Grand Canyon Education, Inc.",4.85,Buy
85.06,1.7,1,1,6,6,BABA,Alibaba Group Holding Limited,11.2,Buy
85.0,1.6,4,1,1.0,17,AIMT,"Aimmune Therapeutics, Inc.",76.58,Buy
85.0,1.8,2,1,1.0,10,OPK,"Opko Health, Inc.",93.55,Buy
84.88,1.9,1,1,6,5,BAM,Brookfield Asset Management Inc,8.43,Buy
84.75,2.2,1,1,1.0,5,LBRDA,Liberty Broadband Corporation,-0.09,Buy
84.6,1.6,1,1,2.0,5,MMSI,"Merit Medical Systems, Inc.",8.89,Buy
84.56,1.3,3,1,1.0,5,BOFI,"BofI Holding, Inc.",26.07,Buy
84.51,1.4,2,1,6,4,DOOR,Masonite International Corporation,12.06,Buy
84.35,2.0,1,2,6,4,BRKS,"Brooks Automation, Inc.",26.11,Buy
84.32,1.9,3,1,1.0,2,PPBI,Pacific Premier Bancorp Inc,19.44,Buy
84.31,1.8,6,1,1.7999999999999998,4,GOOG,Alphabet Inc.,15.85,Buy
84.3,1.8,1,1,6,5,TAL,TAL Education Group,2.48,Buy
84.23,1.5,1,2,6,4,SNX,Synnex Corporation,12.91,Buy
84.22,2.0,3,1,1.0,17,BYSI,"BeyondSpring, Inc.",30.34,Buy
84.13,2.2,1,2,6,1,OC,Owens Corning Inc,9.79,Buy
84.05,1.6,3,1,1.0,8,XNCR,"Xencor, Inc.",57.3,Buy
83.98,2.0,1,2,2.3,5,AAOI,"Applied Optoelectronics, Inc.",47.06,Buy
83.95,1.9,2,1,1.2000000000000002,8,SABR,Sabre Corporation,36.85,Buy
83.94,2.0,1,2,6,2,FMS,Fresenius Medical Care Corporation,10.32,Buy
83.93,1.6,3,1,1.0,17,DBVT,DBV Technologies S.A.,18.6,Buy
83.88,1.7,3,1,1.0,2,ORBK,Orbotech Ltd.,11.33,Buy
83.75,1.9,3,2,1.0,17,XOG,"Extraction Oil & Gas, Inc.",55.31,Buy
83.71,1.3,3,1,1.0,17,HCM,Hutchison China MediTech Limited,9.76,Buy
83.68,1.8,2,1,1.0,7,ARRS,ARRIS International plc,20.74,Buy
83.67,1.7,2,1,1.2999999999999998,5,AVGO,Broadcom Limited,12.37,Buy
83.67,2.3,3,1,1.0,3,SIMO,Silicon Motion Technology Corporation,31.49,Buy
83.61,2.0,1,1,6,12,VDTH,Videocon d2h Limited,59.08,Buy
83.59,1.6,3,1,6,4,DY,"Dycom Industries, Inc.",36.56,Buy
83.54,1.7,3,1,1.0,2,EEFT,"Euronet Worldwide, Inc.",8.97,Buy
83.5,1.7,3,1,1.2000000000000002,2,CMCSA,Comcast Corporation,13.64,Buy
83.49,1.9,1,2,1.4000000000000004,2,IPGP,IPG Photonics Corporation,-1.39,Buy
83.46,1.8,2,1,6,3,EPAM,"EPAM Systems, Inc.",9.1,Buy
83.44,2.0,1,2,6,3,DLX,Deluxe Corporation,13.98,Buy
83.37,1.7,3,1,6,5,MXL,"MaxLinear, Inc",44.39,Buy
83.35,2.1,1,2,2.0,2,ENTG,"Entegris, Inc.",17.65,Buy
83.35,2.3,1,2,1.0,5,KRNY,Kearny Financial,17.65,Buy
83.22,1.7,3,1,6,3,FN,Fabrinet,30.15,Buy
83.2,1.6,2,1,1.0,5,ILG,"ILG, Inc",15.89,
83.14,1.9,3,1,1.4000000000000004,6,WDC,Western Digital Corporation,47.84,Buy
83.12,1.9,2,1,6,2,NEE,"NextEra Energy, Inc.",2.9,Buy
83.06,2.0,3,1,6,5,TTMI,"TTM Technologies, Inc.",60.75,Buy
83.02,1.7,3,1,1.7000000000000002,17,TWNK,"Hostess Brands, Inc.",33.11,Buy
83.02,1.5,3,1,6,1,TMO,Thermo Fisher Scientific Inc,10.59,Buy
83.01,1.0,2,1,2.5,5,IX,Orix Corp Ads,20.25,Buy
82.99,2.0,1,2,1.4000000000000004,7,MLCO,Melco Resorts & Entertainment Limited,30.93,Buy
82.82,1.0,5,1,1.0,3,UFPI,"Universal Forest Products, Inc.",43.09,Buy
82.76,1.7,1,1,2.0,7,CTRP,"Ctrip.com International, Ltd.",11.79,Buy
82.76,1.7,3,1,6,3,JCOM,"j2 Global, Inc.",27.4,Buy
82.72,1.9,2,1,1.7000000000000002,5,MSCC,Microsemi Corporation,20.7,Buy
82.68,1.9,2,2,1.9000000000000004,1,AMAT,"Applied Materials, Inc.",23.77,Buy
82.66,2.0,2,1,1.0,7,RMBS,"Rambus, Inc.",18.64,Buy
82.64,1.8,2,1,1.0,7,MOMO,Momo Inc.,13.51,Buy
82.63,1.5,1,2,6,5,SKM,"SK Telecom Co., Ltd.",9.97,Buy
82.47,2.0,2,2,1.0,2,SEIC,SEI Investments Company,8.93,Buy
82.36,1.0,3,1,6,3,MNR,Monmouth Real Estate Investment Corporation,7.49,Buy
82.32,1.8,3,1,1.0,5,HQY,"HealthEquity, Inc.",22.94,Buy
82.27,2.0,1,2,6,4,EW,Edwards Lifesciences Corporation,13.61,Buy
82.25,2.0,1,2,6,9,KW,Kennedy-Wilson Holdings Inc.,46.84,Buy
82.24,1.8,2,1,6,5,EBS,"Emergent Biosolutions, Inc.",15.12,Buy
82.19,2.2,1,2,6,5,UAL,"United Continental Holdings, Inc.",24.8,Buy
82.12,2.0,3,1,1.0,2,PEGA,Pegasystems Inc.,6.51,Buy
82.1,6,1,2,1.0,8,LBTYK,Liberty Global plc,14.29,Buy
82.03,2.0,2,2,1.0,4,ON,ON Semiconductor Corporation,19.21,Buy
82.0,1.5,2,1,1.0,12,NKTR,Nektar Therapeutics,34.8,Buy
81.98,1.4,2,1,1.0,6,OSUR,"OraSure Technologies, Inc.",-7.79,Buy
81.93,2.2,3,2,1.0,17,PI,"Impinj, Inc.",46.59,Buy
81.92,1.8,1,1,6,8,BPY,Brookfield Property Partners L.P.,8.17,Buy
81.9,2.0,1,2,1.7999999999999998,2,RYAAY,Ryanair Holdings plc,-0.01,Buy
81.9,2.0,1,2,1.5999999999999996,7,FOX,"Twenty-First Century Fox, Inc.",28.3,Buy
81.88,2.0,2,2,1.0,5,SKYW,"SkyWest, Inc.",24.83,Buy
81.85,1.9,1,2,6,5,CP,Canadian Pacific Railway Limited,15.29,Buy
81.81,2.3,2,2,1.0,2,LOGI,Logitech International S.A.,11.86,Buy
81.79,2.0,2,2,1.0,2,EGBN,"Eagle Bancorp, Inc.",4.18,Buy
81.75,2.0,2,2,1.0,2,EXLS,"ExlService Holdings, Inc.",3.93,Buy
81.71,1.7,3,1,6,1,UNH,UnitedHealth Group Incorporated,7.76,Buy
81.71,1.0,3,1,6,7,VGR,Vector Group Ltd.,30.25,Buy
81.65,1.7,3,1,6,1,MTN,"Vail Resorts, Inc.",7.4,Buy
81.6,6,1,2,1.0,8,LBTYB,Liberty Global plc,11.27,Buy
81.53,1.9,3,1,6,2,NWL,Newell Brands Inc.,18.37,Buy
81.52,1.4,3,1,1.0,9,NXTM,"NxStage Medical, Inc.",33.97,Buy
81.52,2.1,1,2,6,5,ALSN,"Allison Transmission Holdings, Inc.",18.3,Buy
81.45,2.5,2,1,6,4,STL,Sterling Bancorp,21.21,Buy
81.43,1.4,3,1,1.0,17,AVXS,"AveXis, Inc.",-1.4,Buy
81.42,1.8,4,1,1.0,17,NCSM,"NCS Multistage Holdings, Inc.",33.52,Buy
81.42,2.2,2,2,1.0,3,SLAB,"Silicon Laboratories, Inc.",13.26,Buy
81.39,1.9,2,1,6,7,BURL,"Burlington Stores, Inc.",25.82,Buy
81.37,2.0,1,1,1.0,11,PAM,Pampa Energia S.A.,11.23,Buy
81.28,2.0,1,2,6,5,PKX,POSCO,14.34,Buy
81.27,2.0,1,2,6,3,IBA,"Industrias Bachoco, S.A. de C.V.",0.95,Buy
81.26,2.3,2,2,1.0,2,ETFC,E*TRADE Financial Corporation,7.98,Buy
81.25,2.1,2,2,2.0,2,CRUS,"Cirrus Logic, Inc.",27.94,Buy
81.24,2.0,2,2,6,1,EME,"EMCOR Group, Inc.",12.43,Buy
81.23,1.7,3,1,1.0,17,TTD,"The Trade Desk, Inc.",4.89,Buy
81.21,2.0,2,1,6,4,SPGI,S&P Global Inc.,7.26,Buy
81.05,2.3,3,1,1.0,3,IIVI,II-VI Incorporated,13.15,Buy
81.05,2.1,1,2,6,4,RHT,"Red Hat, Inc.",8.78,Buy
