PIH,"1347 Property Insurance Holdings, Inc.",Finance,$47.27M
TURN,180 Degree Capital Corp.,Finance,$49.79M
FLWS,"1-800 FLOWERS.COM, Inc.",Consumer Services,$617.42M
FCCY,1st Constitution Bancorp (NJ),Finance,$138.47M
SRCE,1st Source Corporation,Finance,$1.25B
VNET,"21Vianet Group, Inc.",Technology,$520.26M
TWOU,"2U, Inc.",Technology,$2.14B
JOBS,"51job, Inc.",Technology,$2.76B
CAFD,8point3 Energy Partners LP,Public Utilities,$1.17B
EGHT,8x8 Inc,Public Utilities,$1.3B
AVHI,"A V Homes, Inc.",Capital Goods,$445.47M
SHLM,"A. Schulman, Inc.",Basic Industries,$889.83M
AAON,"AAON, Inc.",Capital Goods,$1.93B
ABAX,"ABAXIS, Inc.",Capital Goods,$1.19B
ABEO,Abeona Therapeutics Inc.,Health Care,$318.02M
ABEOW,Abeona Therapeutics Inc.,Health Care,n/a
ABIL,Ability Inc.,Finance,$29.36M
ABMD,"ABIOMED, Inc.",Health Care,$6.17B
AXAS,Abraxas Petroleum Corporation,Energy,$255.61M
ACIU,AC Immune SA,Health Care,$500.92M
ACIA,"Acacia Communications, Inc.",Technology,$1.57B
ACTG,Acacia Research Corporation,Miscellaneous,$197.29M
ACHC,"Acadia Healthcare Company, Inc.",Health Care,$4.2B
ACAD,ACADIA Pharmaceuticals Inc.,Health Care,$3.5B
ACST,"Acasti Pharma, Inc.",Health Care,$18.98M
AXDX,"Accelerate Diagnostics, Inc.",Capital Goods,$1.48B
XLRN,Acceleron Pharma Inc.,Health Care,$1.22B
ANCX,Access National Corporation,Finance,$543.8M
ARAY,Accuray Incorporated,Health Care,$369.35M
ACRX,"AcelRx Pharmaceuticals, Inc.",Health Care,$93.03M
ACET,Aceto Corporation,Health Care,$453.62M
AKAO,"Achaogen, Inc.",Health Care,$945.29M
ACHN,"Achillion Pharmaceuticals, Inc.",Health Care,$665.85M
ACIW,"ACI Worldwide, Inc.",Technology,$2.55B
ACRS,"Aclaris Therapeutics, Inc.",Health Care,$734.37M
ACNB,ACNB Corporation,Finance,$183.22M
ACOR,"Acorda Therapeutics, Inc.",Health Care,$944.85M
SQZZ,Active Alts Contrarian ETF,n/a,n/a
ATVI,"Activision Blizzard, Inc",Technology,$42.67B
ACTA,Actua Corporation,Technology,$461.93M
ACXM,Acxiom Corporation,Technology,$2.01B
ADMS,"Adamas Pharmaceuticals, Inc.",Health Care,$400.23M
ADMP,Adamis Pharmaceuticals Corporation,Health Care,$152.98M
ADAP,Adaptimmune Therapeutics plc,Health Care,$453.53M
ADUS,Addus HomeCare Corporation,Health Care,$435.71M
AEY,"ADDvantage Technologies Group, Inc.",Consumer Services,$16.1M
IOTS,Adesto Technologies Corporation,Technology,$70.48M
ADMA,ADMA Biologics Inc,Health Care,$46.25M
ADBE,Adobe Systems Incorporated,Technology,$69.45B
ADOM,"ADOMANI, Inc.",Capital Goods,$1.21B
ADTN,"ADTRAN, Inc.",Public Utilities,$968.89M
ADRO,"Aduro Biotech, Inc.",Health Care,$873.92M
AAAP,Advanced Accelerator Applications S.A.,Health Care,$1.71B
ADES,"Advanced Emissions Solutions, Inc.",Basic Industries,$201.1M
AEIS,"Advanced Energy Industries, Inc.",Capital Goods,$2.6B
AMD,"Advanced Micro Devices, Inc.",Technology,$12.3B
ADXS,"Advaxis, Inc.",Health Care,$271.1M
ADXSW,"Advaxis, Inc.",Health Care,n/a
ADVM,"Adverum Biotechnologies, Inc.",Health Care,$105.03M
AEGN,Aegion Corp,Basic Industries,$742.5M
AGLE,"Aeglea BioTherapeutics, Inc.",Health Care,$46.54M
AEHR,Aehr Test Systems,Capital Goods,$81.02M
AMTX,"Aemetis, Inc",Basic Industries,$25.8M
AERI,"Aerie Pharmaceuticals, Inc.",Health Care,$1.97B
AVAV,"AeroVironment, Inc.",Capital Goods,$904.35M
AEZS,AEterna Zentaris Inc.,Health Care,$14.65M
AEMD,"Aethlon Medical, Inc.",Capital Goods,$17.83M
GNMX,"Aevi Genomic Medicine, Inc.",Health Care,$49.36M
AFMD,Affimed N.V.,Health Care,$101.06M
AGEN,Agenus Inc.,Health Care,$393.5M
AGRX,"Agile Therapeutics, Inc.",Health Care,$107.16M
AGYS,"Agilysys, Inc.",Technology,$236.77M
AGIO,"Agios Pharmaceuticals, Inc.",Health Care,$2.6B
AGNC,AGNC Investment Corp.,Consumer Services,$7.16B
AGNCB,AGNC Investment Corp.,Consumer Services,$8.91B
AGNCP,AGNC Investment Corp.,Consumer Services,n/a
AGFS,"AgroFresh Solutions, Inc.",Finance,$398.22M
AGFSW,"AgroFresh Solutions, Inc.",Finance,n/a
ALRN,"Aileron Therapeutics, Inc.",Health Care,$195.65M
AIMT,"Aimmune Therapeutics, Inc.",Health Care,$1.04B
AIRT,"Air T, Inc.",Transportation,$41.88M
ATSG,"Air Transport Services Group, Inc",Transportation,$1.3B
AIRG,"Airgain, Inc.",Technology,$130.43M
AMCN,AirMedia Group Inc,Technology,$133.8M
AKAM,"Akamai Technologies, Inc.",Miscellaneous,$8.53B
AKTX,Akari Therapeutics Plc,Health Care,$54.88M
AKCA,"Akcea Therapeutics, Inc.",Health Care,n/a
AKBA,"Akebia Therapeutics, Inc.",Health Care,$614.36M
AKER,Akers Biosciences Inc,Health Care,$10.45M
AKRX,"Akorn, Inc.",Health Care,$4.18B
AKTS,"Akoustis Technologies, Inc.",Public Utilities,$162.9M
ALRM,"Alarm.com Holdings, Inc.",Technology,$1.69B
ALSK,"Alaska Communications Systems Group, Inc.",Public Utilities,$112.53M
AMRI,"Albany Molecular Research, Inc.",Health Care,$933.93M
ALBO,"Albireo Pharma, Inc.",Health Care,$216.15M
ABDC,Alcentra Capital Corp.,n/a,$178.58M
ADHD,Alcobra Ltd.,Health Care,$30.59M
ALDR,"Alder BioPharmaceuticals, Inc.",Health Care,$602.4M
ALDX,"Aldeyra Therapeutics, Inc.",Health Care,$71.12M
ALXN,"Alexion Pharmaceuticals, Inc.",Health Care,$27.19B
ALCO,"Alico, Inc.",Consumer Non-Durables,$250.76M
ALGN,"Align Technology, Inc.",Health Care,$12.03B
ALIM,"Alimera Sciences, Inc.",Health Care,$91.51M
ALJJ,"ALJ Regional Holdings, Inc.",Miscellaneous,$110.29M
ALKS,Alkermes plc,Health Care,$9.11B
ABTX,"Allegiance Bancshares, Inc.",Finance,$504.31M
ALGT,Allegiant Travel Company,Transportation,$2.28B
AIQ,"Alliance HealthCare Services, Inc.",Health Care,$143.51M
AHGP,"Alliance Holdings GP, L.P.",Energy,$1.45B
AMMA,"Alliance MMA, Inc.",Consumer Services,$10.25M
ARLP,"Alliance Resource Partners, L.P.",Energy,$1.44B
AHPI,"Allied Healthcare Products, Inc.",Health Care,$10.68M
AMOT,"Allied Motion Technologies, Inc.",Capital Goods,$254.31M
ALQA,"Alliqua BioMedical, Inc.",Health Care,$17.01M
ALLT,Allot Communications Ltd.,Technology,$169.21M
