DDD,3D Systems Corporation,Technology,17.83
MMM,3M Company,Health Care,208.02
WBAI,500.com Limited,Consumer Services,11.07
WUBA,58.com Inc.,Technology,44.02
AHC,A.H. Belo Corporation,Consumer Services,5.4
ATEN,"A10 Networks, Inc.",Technology,8
AAC,"AAC Holdings, Inc.",Health Care,6.41
AIR,AAR Corp.,Capital Goods,35.04
AAN,"Aaron&#39;s,  Inc.",Technology,37.75
ABB,ABB Ltd,Consumer Durables,24.81
ABT,Abbott Laboratories,Health Care,47.94
ABBV,AbbVie Inc.,Health Care,71.73
ANF,Abercrombie & Fitch Company,Consumer Services,12.27
GCH,"Aberdeen Greater China Fund, Inc.",n/a,11.42
JEQ,"Aberdeen Japan Equity Fund, Inc. ",n/a,8.4
SGF,"Aberdeen Singapore Fund, Inc.",n/a,10.95
ABM,ABM Industries Incorporated,Finance,40.54
AKR,Acadia Realty Trust,Consumer Services,27.26
ACN,Accenture plc,Miscellaneous,122.94
ACCO,Acco Brands Corporation,Consumer Durables,11.65
ATV,"Acorn International, Inc.",Consumer Services,9.8
ATU,Actuant Corporation,Technology,24.15
AYI,Acuity Brands Inc,Consumer Durables,199.02
GOLF,Acushnet Holdings Corp.,Consumer Non-Durables,19.86
ADX,"Adams Diversified Equity Fund, Inc.",n/a,14.29
PEO,"Adams Natural Resources Fund, Inc.",n/a,18.53
AGRO,Adecoagro S.A.,Consumer Non-Durables,9.68
ADNT,Adient plc,Capital Goods,66.16
ATGE,Adtalem Global Education Inc.,Consumer Services,36
AAP,Advance Auto Parts Inc,Consumer Services,103.16
ADSW,"Advanced Disposal Services, Inc.",Public Utilities,22.58
WMS,"Advanced Drainage Systems, Inc.",Capital Goods,19.3
ASX,"Advanced Semiconductor Engineering, Inc.",Technology,6.24
ASIX,AdvanSix Inc.,Basic Industries,32.35
AAV,Advantage Oil & Gas Ltd,Energy,6.7
AVK,Advent Claymore Convertible Securities and Income Fund,n/a,16.1
AGC,Advent Claymore Convertible Securities and Income Fund II,n/a,6.24
LCM,Advent/Claymore Enhanced Growth & Income Fund,n/a,8.69
ACM,AECOM,Consumer Services,32.2
ANW,Aegean Marine Petroleum Network Inc.,Energy,5.45
AEB,Aegon NV,Finance,24.94
AED,Aegon NV,Finance,26.25
AEG,Aegon NV,Finance,5.3
AEH,Aegon NV,Finance,25.91
AEK,Aegon NV,Finance,26
AER,Aercap Holdings N.V.,Technology,46.58
HIVE,"Aerohive Networks, Inc.",Technology,4.87
AJRD,"Aerojet Rocketdyne Holdings, Inc. ",Capital Goods,21.33
AET,Aetna Inc.,Health Care,152.33
AMG,"Affiliated Managers Group, Inc.",Finance,166.18
MGR,"Affiliated Managers Group, Inc.",Finance,25.41
AFL,Aflac Incorporated,Finance,77.53
AFSD,Aflac Incorporated,Finance,25.6
MITT,"AG Mortgage Investment Trust, Inc.",n/a,18.44
MITT^A,"AG Mortgage Investment Trust, Inc.",n/a,25.42
MITT^B,"AG Mortgage Investment Trust, Inc.",n/a,25.15
